iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,1000,49478284.0,49478284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
1,2000,1008402753.0743734,49478284.0,22.926989316940308,26.662855397483277,25.081261977984504,26.662855397483277,-6203.5234375,4820.88818359375,-5347.25146484375,10168.1396484375,-4658.6044921875,8354.7705078125,-1259.8175048828125,9614.587890625,5404.64453125,-5151.84228515625,-842.6743774414062,695.3846,701.3109,695.3846,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
11,12000,879854707.7485235,49478284.0,255.8007252216339,36.535487748146814,25.729600445785064,35.550837919778566,-2263.2392578125,-7592.140625,-11470.154296875,3878.013671875,-4142.4541015625,7040.18798828125,-1128.1212158203125,8168.30908203125,11861.3193359375,-11416.8955078125,-1481.41162109375,730.6612401862465,701.882,716.913,"[1381.85766602   84.66886902   86.64254761  188.59791565   10.77481937
  384.77639771  492.55609131 2208.05810547]"
21,22000,878941443.3737692,25171369.616085578,487.56400513648987,148.05733278996928,25.629623461757973,60.65430078724808,-3525.1533203125,12460.115234375,6224.470703125,6235.64453125,-5334.0400390625,8307.2548828125,-1677.2713623046875,9984.5263671875,-6321.6484375,6632.6494140625,-1036.6700439453125,758.94471208044,701.6052,745.7124237694635,"[1241.97889569   63.19716133   88.09781877   14.59615881  174.06010728
  633.19492492  763.40831402 2463.0207729 ]"
31,32000,837297140.1263078,10915673.947023759,717.4658668041229,190.69462107456877,25.69255558859712,204.23910473794706,-5776.2060546875,26672.8515625,16748.1796875,9924.671875,-4927.33544921875,6632.6787109375,-2547.48291015625,9180.162109375,-15847.87109375,16662.841796875,-2716.5703125,776.9599329732926,701.61304,773.8858961202748,"[1317.87238472   41.66776416   85.08391768   89.66120276    6.79777239
  804.54495298  611.12011211 2567.29876112]"
41,42000,927431170.5157541,10915673.947023759,947.114401102066,224.02946216068116,25.774723763872526,245.79898003826784,-5044.3681640625,28529.412109375,18353.990234375,10175.421875,-5047.482421875,7681.1083984375,-1769.6226806640625,9450.7314453125,-17668.755859375,18256.31640625,-1958.5347900390625,785.9212652039014,701.794,780.6517376985255,"[1317.87238472   41.66776416   85.08391768   89.66120276    6.79777239
  804.54495298  611.12011211 2567.29876112]"
51,52000,954492014.3903563,9881659.35804984,1176.1057929992676,264.2975458706019,26.06065815464535,318.7411356213479,-6749.0751953125,29777.814453125,17096.232421875,12681.58203125,-3156.85791015625,5500.0126953125,-1470.9544677734375,6970.96728515625,-17373.326171875,17794.720703125,-1404.64599609375,797.2727434897738,701.84955,790.7514663186304,"[1321.51469527   41.73328961   85.08347975   89.78137789    6.50533074
  743.20375271  613.52446304 2563.54548848]"
61,62000,974192963.6089667,9881659.35804984,1404.6076674461365,382.5029618604267,25.577143415042023,494.2736809821124,-11738.5361328125,31458.029296875,9365.9228515625,22092.10546875,-6172.62744140625,9401.837890625,-1850.4898681640625,11252.328125,-9281.2900390625,9814.6865234375,-1777.9893798828125,815.0510754048225,701.5395,803.3567788262761,"[1321.51469527   41.73328961   85.08347975   89.78137789    6.50533074
  743.20375271  613.52446304 2563.54548848]"
71,72000,901354577.7541827,9699633.815365165,1632.772078037262,65.71099080900579,25.756760403924766,124.88472351436924,-17967.33203125,45479.58984375,10457.267578125,35022.3203125,-5941.14794921875,9185.626953125,-1327.7686767578125,10513.3955078125,-9886.0869140625,10330.880859375,-1482.645751953125,834.6856131657929,701.769,832.7812861333008,"[1319.35700911   41.7280055    85.08349572   89.77910846    6.56943576
  749.21100976  613.35868295 2564.5287488 ]"
81,82000,1008281677.5798923,9699633.815365165,1860.6055972576141,30.97106891806549,25.359193849000615,44.637124471966644,-19425.4140625,44676.19921875,7765.44287109375,36910.7578125,-5444.57958984375,8186.71142578125,-2016.5504150390625,10203.26171875,-8638.298828125,9080.373046875,-1473.581787109375,832.0908471185151,702.0381,832.7213631028383,"[1319.35700911   41.7280055    85.08349572   89.77910846    6.56943576
  749.21100976  613.35868295 2564.5287488 ]"
