iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,80,63273758720.0,63273758720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[6.8008362e+02 1.3165507e+00 7.7122383e+00 8.7302391e+01 1.3629779e+00
 1.7942206e+02 2.2177161e+02 1.3899378e+00 8.5321014e+01 2.1935219e+02
 5.8186336e+00 4.4927709e-02]"
1,95,64832421888.0,63273758720.0,0.16646456718444824,142.5369499571579,130.48411510978266,142.5369499571579,0.0,0.0,0.0,0.0,-8184.2041015625,24658.62109375,14496.203125,10162.41796875,-14673.83984375,0.0,14673.83984375,353.9816,204.21594113576347,353.9816,"[6.8008362e+02 1.3165507e+00 7.7122383e+00 8.7302391e+01 1.3629779e+00
 1.7942206e+02 2.2177161e+02 1.3899378e+00 8.5321014e+01 2.1935219e+02
 5.8186336e+00 4.4927709e-02]"
4,140,56914706432.0,56914706432.0,0.3100302219390869,143.91718944339846,104.59371111855059,143.91718944339846,0.0,0.0,0.0,0.0,-20647.271484375,49994.5078125,20610.529296875,29383.978515625,-21045.341796875,0.0,21045.341796875,351.8644,233.6593805745171,351.8644,"[8.0202692e+02 5.5568762e+00 2.7363150e+01 1.4207523e+03 5.1355624e+00
 1.1401952e+03 6.0886047e+02 5.3262882e+00 8.6946762e+01 2.7807706e+02
 4.9805191e+01 4.0051913e-01]"
5,155,32553633792.0,32553633792.0,0.32423901557922363,143.91718944339846,144.55983660502383,143.91718944339846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.73135,217.95831921414427,352.73135,"[7.8974530e+02 4.6918635e+00 1.9534754e+01 1.1386646e+03 5.1347303e+00
 1.6757175e+02 2.9783789e+02 2.4509354e+00 8.6636497e+01 2.7059961e+02
 4.6683395e+01 1.1119124e-01]"
10,230,30407249920.0,30407249920.0,0.586930513381958,143.91718944339846,124.1037048675254,143.91718944339846,0.0,0.0,0.0,0.0,-25397.02734375,79987.796875,29414.232421875,50573.5625,-28404.294921875,0.0,28404.294921875,352.12576,195.2952653732572,352.12576,"[5.3767297e+02 5.5169101e+00 2.0292097e+01 1.4337124e+03 4.7870979e+00
 1.1212108e+03 7.0580713e+02 5.1616921e+00 8.7546089e+01 2.5998038e+02
 5.0091946e+01 4.3460169e-01]"
11,249,28913084416.0,28913084416.0,0.6013839244842529,535.8249437998161,133.10210121434523,317.3232162633444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.51810631719368,138.66595262097334,46.91257,"[7.18862183e+02 2.96308341e+00 2.36679691e+01 4.23793837e+02
 3.18907881e+00 4.13316559e+02 7.35874878e+02 4.39000664e+00
 8.62967133e+01 4.43638733e+02 5.68079632e+01 3.10985318e-01]"
12,264,26975193088.0,26975193088.0,0.6102409362792969,556.9868231605623,126.48790865308341,556.9868231605623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81299226687614,96.41725276275679,80.81299226687614,"[6.96105976e+02 2.81738243e+00 2.46992955e+01 4.42552195e+02
 3.32142064e+00 3.16200070e+02 7.30857408e+02 4.40067799e+00
 8.61456255e+01 4.39655301e+02 6.53538064e+01 3.31846465e-01]"
13,279,23832698880.0,23832698880.0,0.8037290573120117,622.3968835968934,97.60068382042117,622.3968835968934,-86815.34375,-46287.44921875,-173495.703125,127208.25,-28218.3046875,82634.015625,27764.70703125,54869.30859375,167737.6875,-176520.65625,29276.5625,85.1395906966838,90.94872939323336,85.1395906966838,"[7.09186405e+02 2.76489888e+00 2.35246408e+01 4.81658845e+02
 3.19320925e+00 2.72683175e+02 7.39726375e+02 4.48529392e+00
 8.61761779e+01 4.29356487e+02 6.31550083e+01 3.41950884e-01]"
14,294,20602259456.0,20602259456.0,0.8163306713104248,668.2377663547674,138.53724446129888,668.2377663547674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5881892011659,145.10187920852604,87.5881892011659,"[6.84426820e+02 2.80683349e+00 2.16932526e+01 5.18713807e+02
 3.16107214e+00 2.71043674e+02 7.21617828e+02 4.46172858e+00
 8.60757052e+01 4.44501990e+02 6.71485898e+01 3.28644483e-01]"
15,309,15946941440.0,15946941440.0,0.8274285793304443,683.6521863175333,79.02856459439529,683.6521863175333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.16006155998143,76.1321686761759,89.16006155998143,"[7.33516610e+02 2.96013518e+00 2.09929373e+01 5.40529049e+02
 3.10761897e+00 2.34149216e+02 8.00778037e+02 4.51818530e+00
 8.62049800e+01 3.88160036e+02 6.92252072e+01 3.33727473e-01]"
16,324,8202794496.0,8202794496.0,1.0161571502685547,285.07344845156257,132.48647406670673,285.07344845156257,-95383.1171875,-74801.5703125,-271272.34375,196470.78125,-30871.90234375,84909.890625,27072.396484375,57837.4921875,267183.75,-275294.625,27036.2421875,35.258946444691844,136.0174638060692,35.258946444691844,"[7.14949768e+02 1.42837238e+00 1.73469830e+01 4.42805817e+02
 3.04930830e+00 1.90900314e+02 4.12070068e+02 3.21216726e+00
 8.56327591e+01 2.30195374e+02 6.17018776e+01 3.10017407e-01]"
17,339,6515705856.0,6515705856.0,1.0264959335327148,317.050436121722,88.03842412994128,317.050436121722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.187437448287504,120.82706420107051,37.187437448287504,"[6.77907670e+02 1.30518651e+00 1.58485241e+01 4.48318048e+02
 2.91111056e+00 2.36012714e+02 4.65467956e+02 3.25460176e+00
 8.57137327e+01 2.32898121e+02 6.50509864e+01 2.97015585e-01]"
