iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,150,201733.81,201733.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
1,200,1634207.989844532,201733.8125,103.17381405830383,74.49549862242748,56.24818467897054,74.49549862242748,-4542.8828125,24526.482421875,17146.255859375,7380.2265625,-5725.3330078125,31768.712890625,21145.19921875,10623.513671875,-23141.150390625,16877.611328125,20878.462890625,716.1872,671.454,716.1872,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
11,700,1358240.267028005,201733.8125,142.09839820861816,51.10124165887826,58.36905980916097,51.10124165887826,-2323.60302734375,15044.908203125,11739.8017578125,3305.1064453125,-4883.7294921875,31867.31640625,22143.5,9723.81640625,-18578.560546875,11856.822265625,22405.791015625,713.4314,671.6321,713.4314,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
21,1200,1657780.9944345478,201733.8125,180.94214272499084,51.55910888742406,58.42943952958873,51.55910888742406,-459.898681640625,16413.392578125,14746.4287109375,1666.9638671875,-4679.31689453125,29016.908203125,19272.99609375,9743.912109375,-20467.71484375,14681.1962890625,19288.396484375,716.93616,671.35236,716.93616,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
31,1700,1729713.8954835925,201733.8125,219.80369400978088,49.63339569158053,59.570959737669654,49.63339569158053,-569.1302490234375,17477.552734375,15729.7080078125,1747.8447265625,-5472.04736328125,29438.36328125,18954.654296875,10483.708984375,-21408.01171875,15669.841796875,19127.228515625,719.3201,675.7245,719.3201,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
41,2200,1840107.4223591783,201733.8125,258.77156257629395,50.32659945680604,59.47004043326824,50.32659945680604,-1614.9140625,20266.318359375,17450.15234375,2816.166015625,-4457.77001953125,28843.73046875,19238.658203125,9605.072265625,-23263.81640625,17467.87890625,19319.791015625,719.6681,674.1114,719.6681,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
51,2700,1771552.3857564956,201733.8125,297.87321519851685,51.11748696356916,54.83544181314323,51.11748696356916,-912.9832153320312,19087.125,17173.330078125,1913.794921875,-4586.9482421875,32578.38671875,22784.396484375,9793.990234375,-24071.814453125,17218.91796875,22842.986328125,720.3241,670.90137,720.3241,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
61,3200,1527517.0165670381,201733.8125,336.9374439716339,53.45075853777717,55.1857148964134,53.45075853777717,-1054.896728515625,18901.21875,16652.955078125,2248.263671875,-5159.1220703125,31669.111328125,21163.556640625,10505.5546875,-22869.357421875,16416.642578125,21509.048828125,721.2688,675.80316,721.2688,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
71,3700,1703198.5260604718,201733.8125,376.0266833305359,53.01677452969329,59.02526350853026,53.01677452969329,-3044.91845703125,23280.900390625,18819.9765625,4460.923828125,-5623.8408203125,30646.74609375,19959.556640625,10687.189453125,-24631.87890625,18722.19921875,19698.935546875,723.0388,675.50085,723.0388,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
81,4200,1496099.1573391033,201733.8125,415.0696952342987,52.27005217407695,60.24128174393552,52.27005217407695,-1333.534423828125,21059.017578125,17998.10546875,3060.912109375,-5685.734375,32343.21484375,21188.228515625,11154.986328125,-24240.751953125,17923.357421875,21057.982421875,723.6031,674.7369,723.6031,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
91,4700,1719260.186962142,201733.8125,454.1633765697479,54.178968144253226,56.62022524382953,54.178968144253226,-2302.619873046875,22396.951171875,18428.5546875,3968.396484375,-3691.80078125,28243.755859375,19513.814453125,8729.94140625,-24606.6640625,18586.68359375,20066.59765625,724.2224,671.87805,724.2224,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
101,5200,1360783.7243632532,201733.8125,493.2051889896393,54.27738601946974,57.96802468161576,54.27738601946974,-3928.532470703125,25655.517578125,19485.681640625,6169.8359375,-6309.3310546875,31036.71484375,19869.427734375,11167.287109375,-25751.3671875,19730.076171875,20070.970703125,725.21216,673.47363,725.21216,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
111,5700,1946627.0993904152,201733.8125,532.2038714885712,55.54410725943795,46.260375574779445,55.54410725943795,-2866.1923828125,23992.96875,19102.818359375,4890.150390625,-5079.8720703125,30377.337890625,20238.6796875,10138.658203125,-24696.8671875,18783.466796875,19711.33203125,726.3612,675.0822,726.3612,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
121,6200,1727943.3226905058,201733.8125,571.2087607383728,54.42719248113291,63.66182254168149,54.42719248113291,-2349.50537109375,24004.142578125,19693.767578125,4310.375,-4257.87255859375,28114.697265625,18913.4609375,9201.236328125,-25138.416015625,19555.126953125,18610.96484375,726.44904,669.09344,726.44904,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
131,6700,1292809.4652506718,201733.8125,610.270105600357,54.27746104808597,52.93624303356857,54.27746104808597,-2010.53369140625,22531.732421875,18138.83984375,4392.892578125,-4591.40771484375,29086.375,19702.19921875,9384.17578125,-24150.94140625,18306.75,19480.638671875,727.4365,675.14056,727.4365,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
141,7200,1322423.0264643815,201733.8125,649.3704586029053,58.023055090541845,55.37127249724816,58.023055090541845,-1450.8076171875,23191.087890625,19801.2890625,3389.798828125,-4728.30078125,29243.7421875,20108.26953125,9135.47265625,-25682.796875,19647.66015625,20117.123046875,727.9449,674.7914,727.9449,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
151,7700,1701148.0261909317,201733.8125,688.4421722888947,60.23267185685587,62.804926768193916,60.23267185685587,-966.4515380859375,22359.5703125,19793.49609375,2566.07421875,-5945.8916015625,31570.884765625,20875.01171875,10695.873046875,-25530.162109375,19327.615234375,20675.15625,728.5709,672.59314,728.5709,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
